Marke,Mitarbeiter 2025,Gegründet,Stadt,Land,Filialen,Mitarbeiter per Filiale,CEO 2025,Website,
Adidas,59000,1949,Herzogenaurach,DE,1863,32,Bjorn Gulden,https://www.adidas.com/,
Akronym,50,1994,Munich,DE,1,50,Michaela Sachenbacher,https://acrnm.com/,
Armani,7300,1975,Milan,IT,2000,4,Giorgio Armani,https://www.armani.com/,
Asos,3000,2000,London,UK,1,3000,Jose Calamonte,https://www.asos.com/,
Avenir,200,2020,Berlin,DE,1,200,Sophie Claussen,https://avenirberlin.de/,
Bally,1600,1851,Tessin,CH,160,10,Ennio Fontana,https://www.bally.com/,
Bellerose,235,1989,Brussels,BE,11,21,Frederic Vitre,https://bellerose.com/,
Benetton,1550,1965,Ponzano,IT,3800,0,Christian Coco,https://at.benetton.com/,
Bershka,23000,1998,Barcelona,ES,1000,23,Antonio Florez,https://www.bershka.com/,
Bogner,788,1932,München,DE,120,7,Gerrit Schneider,https://www.bogner.com/,
Bonita,1800,1979,Hamminkeln,DE,430,4,Karsten Oberheide,https://www.bonita.de/,
Bottega Veneta,4000,1966,Milan,IT,307,13,Bartolomeo Rongone,https://www.bottegaveneta.com/,
Brax,1345,1888,Herford,DE,108,12,Marc Freyberg,https://www.brax.com/,
Bruno Banani,100,1973,Chemnitz,DE,650,0,J. B. Sanchez,https://brunobanani.com/,
Burberry,9336,1856,London,UK,422,22,Joshua Schulman,https://burberry.com/,
C&A,31000,1841,Düsseldorf,DE,1300,24,Edward Brenninkmeijer,https://www.c-and-a.com/,
Calzedonia,45000,1986,Verona,IT,2000,23,Marcello Veronesi,https://www.calzedonia.com/,  
"CBR ( Cecil, Street One)",1047,1980,Isernhagen,DE,3800,0,Jim Novak,https://www.street-one.de/,
Chanel,32000,1913,London,UK,310,103,Leena Nair,https://www.chanel.com/,
Chicoree,900,1982,Dietikon,CH,170,5,Jörg Weber,https://chicoree.ch/,
Chloe,1100,1952,Paris,FR,100,11,Laurent Malecaze,https://www.chloe.com/,
Cos,2007,2007,London,UK,150,13,Father Ashman,https://www.cos.com/,
Dior,196000,1946,Paris,FR,6300,31,Bernard Arnault,https://www.dior.com/,
Dolce Gabbana,5000,1985,Milan,IT,500,10,Alfonso Dolce,https://www.dolcegabbana.com/,
Dorothee Schumacher,200,1989,München,DE,15,13,Dorothee Schumacher,https://www.dorothee-schumacher.com/,
Escada,1500,1978,München,DE,50,30,Michael Reinstein,https://www.escada.com/,
Falke,3122,1895,Schmallenberg,DE,20,156,Franz Peter Falke,https://www.falke.com/,
Fussl Modestrasse,1100,1871,Ort im Innkreis,AT,200,6,Karl Mayr,https://www.fussl.at/,
G Star Raw,3300,1989,Amsterdam,NL,250,13,Rob Schilder,https://www.g-star.com/,
Gap,95000,1969,San Francisco,CA,3500,27,Richard Dickson,https://www.gap.com/,
Gerry Weber,2145,1973,Halle,DE,511,4,Arndt Buchardt,https://www.gerryweber.com/de-at/,
GmbH,50,2016,Berlin,DE,1,50,Benjamin Huseby,https://gmbhgmbh.eu/,
Gucci,21000,1921,Florence,IT,529,40,Stefano Cantino,https://www.gucci.com/,
Guess,12000,1981,Los Angeles,US,1600,8,Carlos Alberini,https://www.guess.eu/,
H&M,143000,1947,Stockholm,SE,4000,36,Daniel Erver,https://www2.hm.com/,
Hallhuber,2000,1977,München,DE,120,17,Rouven Angermann,https://www.newhallhuber.com/,
Heine,400,1951,Karlsruhe,DE,1,400,Iris Brinkmann,www.heine.de,
Hermes,25000,1837,Paris,FR,300,83,Axel Dumas,https://www.hermes.com/,
Ivy Oak,100,2016,Berlin,DE,1,100,Caroline Gentz,https://ivyoak.com/,
Jil Sander,677,1968,Hamburg,DE,70,10,Axel Keller,www.jilsander.com,
Karstadt,12800,1881,Essen,DE,131,98,Stephan Fanderl,https://www.galeria.de/,
kik,32000,1994,Bönnen,DE,4200,8,Patrick Zahn,https://www.kik.de/,
Kotn,150,2015,Toronto,CA,1,150,Rami Helali,https://kotn.com/,
Kunert,540,1907,Immenstadt,DE,1,540,Werner Töpfel,https://www.kunert.de/,
Lindex,4000,1954,Gothenburg,SW,440,9,Susanne Ehnbage,https://www.lindex.com/,
Lloyd,1500,1888,Bremen,DE,40,38,John Neal,https://www.lloyd.com/,
Louis Vouitton,173500,1854,Paris,FR,6300,28,Pietro Beccari,https://en.louisvuitton.com/,
Maje,1400,1998,Paris,FR,110,13,Judith Milgrom,https://eu.maje.com/,
Mango,15000,1984,Palau i Plegamans,ES,2850,5,Toni Ruiz,https://shop.mango.com/,
Marc Cain,1000,1973,Bodelshausen,DE,480,2,Helmut Schloterrer,https://www.marc-cain.com/,
Marks Spencer,75000,1884,London,UK,600,125,Stuart Machin,https://www.marksandspencer.com/,
Massimo Dutti,10000,1985,Barcelona,ES,643,16,Óscar García Maceiras,https://www.massimodutti.com/,
MCM,5000,1976,Münich,DE,650,8,Kim Sung Joo,https://www.mcmworldwide.com/,
Mexx,1000,1986,Amsterdam,NL,376,3,Leo Cantagalli,https://www.mexx.com/,
Mister Lady,1550,1967,Schwabach,DE,320,5,Albert Himmel,https://www.mister-lady.de/,
Moschino,5000,1983,Milan,IT,90,56,Stefano Secchi,https://www.moschino.com/,
NA-KD,200,2015,Göteborg,SE,2200,0,Anders Kristiansen,https://www.na-kd.com/,
Nanushka,200,2006,Budapest,HU,6,33,Sandra Sandor,https://www.nanushka.com/,
New Look,10000,1969,Weymouth,UK,570,18,Helen Connolly,https://www.newlook.com/,
New Yorker,22711,1971,Braunschweig,DE,1200,19,Jonas Gnauck,https://www.newyorker.de/,
Next,48417,1864,Enderby,UK,730,66,Simon Wolfson,https://www.next.at/,
Nike,79000,1964,Beaverton,OR,1050,75,Elliott Hill,https://www.nike.com/,
NKD,10000,1962,"Bindlach,",DE,2200,5,Alexander Schmökel,https://www.nkd.com/,
Only,17000,1979,Brande,DK,2800,6,A.H. Povlsen,https://www.only.com/,
Opus,600,2000,Oelde,DE,20,30,Stefan Leewe,https://de.opus-fashion.com/,
Oysho,5000,2001,Barcelona,ES,433,12,Pablo Isla,https://www.oysho.com/,
Palmers,544,1915,Wien,AT,113,5,Rosmarie Rotter,https://www.palmers.at/,
Pepco,25000,2004,Poznan,PL,3500,7,Stephan Borchert,https://pepco.eu/,
Pieces,500,1975,Aarhus,DK,1,500,Tsavo Knott,https://www.pieces.com/,
Pimkie,2185,1971,Lille,FR,716,3,Sandrine Njezic,https://www.pimkie.fr/,
Prada,14800,1913,Milan,IT,606,24,Andrea Guerra,https://www.prada.com/,
Primark,73000,1969,Dublin,IR,450,162,Paul Marchant,https://www.primark.com/,
Pull&Bear,9400,1991,Naron,ES,930,10,Victor Rosca,https://www.pullandbear.com/,
Ralph Lauren,23400,1967,New York,US,2432,10,Patrice Louvet,www.ralphlauren.de,
Reserved,25000,1999,Gdansk,PL,1700,15,Marek Piechocki,https://www.reserved.com/,
Riani,130,1978,Schorndorf,DE,5,26,Martina Buckenmaier,https://www.riani.com/,
River Island,7500,1948,London,UK,350,21,Will Kernan,https://www.riverisland.com/,
Ross,108000,1908,California,US,1847,58,James Conroy,https://www.rossstores.com/,
Sandro,1700,1984,Paris,FR,110,15,"E. I. Chetrite, I. Allouch",https://eu.sandro-paris.com/,
Schiesser,923,1875,Radolfzell,DE,1,923,Andreas Lindemann,https://www.schiesser.com/,
Scotch & Soda,5000,1985,Amsterdam,NL,40,125,Thomas Bervoets,https://scotchandsoda.com/,
Seidensticker,2400,1919,Bielefeld,DE,44,55,Silvia Bentzinger,https://www.seidensticker.com/,
Sezane,833,2013,Paris,FR,30,28,Morgane Sezalory,https://www.sezane.com/de,
Stefanel,1000,1959,Ponte di Piave,IT,110,9,Cristiano Portas,www.stefanel.com,
Stradivarius,10000,1994,Barcelona,ES,835,12,Marta Ortega Perez,https://www.stradivarius.com/,
Superdry,3350,1985,Cheltenham,UK,768,4,Julian Dunkerton,https://www.superdry.de/,
Takko,17801,1982,Telgte,DE,1100,16,Martino Pessina,https://www.takko.com/,
Tally Weijl,3000,1987,Basel,CH,900,3,"Beat Grüring, Tally Elfassi Weijl",www.tally-weijl.com,
TK Maxx,349000,1994,Framingham,US,3300,106,Carol Mayrowitz,https://www.tkmaxx.com/,
Tom Tailor,6158,1962,Hamburg,DE,400,15,Gernot Lenz,https://www.tom-tailor.at/,
Trendyol,11722,2010,Istanbul,TR,1,11722,Demet Mutlu,https://www.trendyol.com/,
Ulla Popken,2200,1987,Rastede,DE,300,7,Thomas Schneider,https://www.ullapopken.at/,
Uniqlo,40000,1975,Akasaka,JP,2700,15,Tadashi Yanai,https://www.uniqlo.com/,
Vacid,50,2016,Villingen,DE,1,50,Zoran Karanovic,https://www.vacid.com/,
Van Laack,302,1881,Mönchengladbach,DE,25,12,Christian von Daniels,https://www.vanlaack.com/,
Versace,3000,1978,Milan,IT,240,13,"Donatella, Santo Versace",https://www.versace.com/,
Vila,500,1995,Skanderborg,DK,54,9,A.H. Povlsen,https://www.vila.com/,
Woolworth,7814,1926,Unna,DE,900,9,Roman Heini,https://woolworth.de/,
YSL,4900,1961,Paris,FR,318,15,Cedric Charbit,https://www.ysl.com/,
Zalando,16000,2008,Berlin,DE,1,16000,Robert Genz,https://www.zalando.de/,
Zara,161281,1975,Arteixo,ES,2150,75,Amancio Ortega,https://www.zara.com/,
Zebra,470,1995,Mägenwil,CH,100,5,Michael Solomun,www.zebrafashion.com,
Zero,720,1967,Bremen,DE,70,10,Bernd Brodrick,https://zero.de/,
Amazon,1556000,1994,Seattle,US,1,1556000,Andy Jassy ,www.amazon.com,
Taobao,13000,2003,Zhejiang,CN,1,13000,Fan Jiang,www.taobao.com,
eBay,11500,1995,San Jose,US,1,11500,Jamie Iannone,www.ebay.com,
Tmall,837,2008,Hangzhou,CN,1,837,Eddie Yongming WU,www.tmall.com,
JD,620000,1998,Beijing,CN,1,620000,Sandy Ran Xu,www.jd.com,
Pinduoduo,17403,2015,Dublin,IR,1,17403,Lei Chen,www.pinduoduo.com,
Rakuten,28000,1997,Tokyo,JP,1,28000,Hiroshi Mikitani,www.rakuten.com,
Shopee,8000,2015,Sungapore,SG,1,8000,Feng Zhimin,www.sea.com,
Aliexpress,5000,2010,Zhejiang,CN,1,5000,Daniel Zhang,www.aliexpress.com,
Etsy,2400,2005,New York,US,1,2400,Josh Silverman,www.etsy.com,
Walmart,2100000,1994,Bentonville,US,1,2100000,Doug McMillon,www.walmart.com,
Mercado Libre,84207,1999,Montevideo,UR,1,84207,Stelleo Passos Tolda,www.mercadolibre.com,
Wildberries,48000,2004,Moscow,RU,1,48000,Tatyana Kim,www.wildberries.ru,
Ozon,45850,1998,Moscow,RU,1,45850,Alexander Shulgin,www.corp.ozon.com,
Lazada,10000,2012,Singapore,SG,1,10000,Chun Li,www.lazada.com,
Allegro,2700,1999,Poznan,PL,1,2700,Marcina Kusmierza,www.allegro.pl,
Flipkart,22000,2007,Bengaluru,IN,1,22000,Kalyan Krishnamurthy,www.flipkart.com,
Target,440000,1902,Minneapolis,US,1981,222,Brian C. Cornell,www.target.com,
Mercari,3000,2013,Tokyo,JP,1,3000,Shintaro Yamada,www.mercari.com/,
About you,1400,2014,Hamburg,DE,1,1400,Tarek Müller,www.aboutyou.com,
Temu,3200,2022,Boston,US,1,3200,Colin Huang,www.temu.com,
Alibaba,204891,1999,Zhejiang,CN,1,204891,Eddie Wu ,https://www.alibaba.com/,