www,category,CEO,country,founded,city,employees,visitors,revenue
alternate.de,Ecommerce,,Germany,1992,Linden,800,4700000,750
americanas.com.br,Ecommerce,,Brazil,,,,,1000
asda.com,Ecommerce,,UK,,Leeds,,,2000
baby-walz.de,Baby,Stefan Weychert,Germany,1952,Bad Waldsee,,1500000,75
babyartikel.de,Baby,Peter Roehrig,Germany,,,,940000,40
babymarkt.de,Baby,Bastian Siebers,Germany,2012,Dortmund,258,2000000,100
babyone.de,Baby,"Anna Weber, Jan Willem Weischer",Germany,,,,607100,30
baur.de,Ecommerce,,Germany,,Burgkunstadt,3300,8000000,500
beibei.com,Baby,,China,,,,,500
bodendirect.de,Baby,,Germany,,,,364600,50
bol.com,Baby,,Netherlands,,Utrecht,,99200000,2000
bonprix.de,Ecommerce,,Germany,,,,11000000,500
carters.com,Baby,,UK,1865,,,,500
cdiscount.com,Ecommerce,,France,,,,,2000
childrensplace.com,Baby,,UK,,,,,500
detmir.ru,Baby,,RUS,,,,,400
dm.de,Baby,Christoph Werner,Germany,,,,13200000,200
ernstings-family.de,Baby,,Germany,,,,3500000,150
firstcry.com,Baby,,India,,,,,300
galeria.de,Baby,,Germany,,,,7300000,100
greenstories.de,Baby,,Germany,,,,571000,1
hans-natur.de,Baby,,Germany,,,,351000,10
hessnatur.com,Baby,,Germany,,,,3300000,50
jako-o.com,Baby,"Sabine Habermaass, Tim Steffens",Germany,1987,Bad Rodach,,1900000,150
jd.hk,Baby,,China,,,,,1000
jollyroom.de,Baby,,Germany,,,,241000,1
lego.com,Baby,Niels B. Christiansen,US,,,,36300000,500
lillydoo.com,Baby,,Germany,,,,202000,10
limango.de,Baby,Martin Oppenrieder,Germany,2007,München,322,8000000,300
magazineluiza.com.br,Baby,,Brazil,,,,,2000
mytoys.de,Baby,Oliver Lederle,Germany,1999,Berlin,225,9200000,500
orami.co.id,Baby,,Indonesia,,,,,150
ozon.ru,Baby,,RUS,,,,,750
playmobil.de,Baby,,Germany,,,,906300,30
potterybarnkids.com,Baby,,US,,,,,400
puzzle.de,Baby,,Germany,,,,394000,1
ravensburger.de,Baby,,Germany,,,,2600000,30
real.de,Baby,,Germany,,,,62700,200
rofu.de,Baby,,Germany,1987,Hoppstädten-Weiersbach,900,1900000,10
segmueller.de,Baby,,Germany,,,,2000000,50
shop.rewe.de,Baby,,Germany,,,,6200000,400
smythstoys.com,Baby,,UK,,,,22000000,100
spiele-offensive.de,Baby,Frank Noack,Germany,,,,800000,10
spielemax.de,Baby,,Germany,,,,450000,1
sportscheck.com,Baby,,Germany,,,,2600000,100
tausendkind.de,Baby,Anike von Gagern,Germany,,,,970000,40
thalia.de,Baby,,Germany,,,,14700000,200
tonies.de,Baby,,Germany,,,,50000,30
u1baby.com,Baby,,China,,,,,500
vertbaudet.de,Baby,,Germany,2007,,,839000,40
very.co.uk,Baby,,UK,,,,,2000
waschbaer.de,Baby,,Germany,,,,820400,50
wayfair.com,Baby,,Germany,,,,7100000,200
windeln.de,Baby,Matthias Puckert,Germany,,,,413800,30
woolworths.com.au,Baby,,AU,,,,,1500
yhd.com,Baby,,China,,,,,2500
aboutyou.de,Ecommerce,,Germany,,,,8200000,500
amazon.com,Ecommerce,Andy Jassy,US,1994,Seattle,,386000000000,20000
ao.de,Ecommerce,,Germany,,,,,200
apple.com,Ecommerce,,US,,,,,20000
argos.co.uk,Ecommerce,,UK,,Central Milton Keynes,,80900000,5000
asos.com,Ecommerce,,UK,,,,,2500
auragentum.de,Ecommerce,,Germany,,,,,400
bauhaus.info,Ecommerce,,Germany,,,,,200
bestbuy.com,Ecommerce,,US,,,,181300000,15000
bestsecret.com,Ecommerce,,Germany,,,,,400
breuninger.com,Ecommerce,,Germany,,,,6300000,500
buybuybaby.com,Ecommerce,,US,,,,,300
carvana.com,Ecommerce,,UK,,,,,2500
chewy.com,Ecommerce,,UK,,,,52500000,5000
conrad.de,Ecommerce,,Germany,,,,6200000,500
costco.com,Ecommerce,,UK,,,,114000000,5000
coupang.com,Ecommerce,,South Korea,,,,79000000,10000
currys.co.uk,Ecommerce,,UK,,,,,2500
cyberport.de,Ecommerce,,Germany,,,,3500000,500
dell.com,Ecommerce,,US,,,,,2500
docmorris.de,Ecommerce,,Germany,,,,4900000,500
douglas.de,Ecommerce,,Germany,,,,9400000,400
eBay.com,Ecommerce,,US,,,,10270000000,10271
ebay.de,Ecommerce,,Germany,,,,190800000,1106
edelmetall-handel.de,Ecommerce,,Germany,,,,,400
ehaier.com,Ecommerce,,China,,,,,2500
eis.de,Ecommerce,,Germany,,,,,200
esprit.de,Ecommerce,,Germany,,,,2600000,200
flaconi.de,Ecommerce,,Germany,,,,,300
flaschenpost.de,Ecommerce,,Germany,,,,,300
gap.com,Ecommerce,,US,,,,66400000,2500
goldsilbershop.de,Ecommerce,,Germany,,,,,300
grainger.com,Ecommerce,,US,,,,,2500
hm.com,Ecommerce,Helena Helmersson,Germany,,,,100700000,2500
home24.de,Ecommerce,,Germany,,,,,200
homedepot.com,Ecommerce,,US,,,,195300000,15000
hornbach.de,Ecommerce,,Germany,,,,10200000,400
hse24.de,Ecommerce,,Germany,,,,,200
idealo.de,Ecommerce,,Germany,,,,58400000,
ikea.com,Ecommerce,,US,,,,204000000,5000
jd.com,Ecommerce,,China,,,,174200000,20000
johnlewis.com,Ecommerce,,UK,,,,,2500
kaola.com,Ecommerce,,China,,,,,25000
kohls.com,Ecommerce,,US,,,,123800000,5000
kroger.com,Ecommerce,,US,,,,38500000,5000
lidl.de,Ecommerce,Christian Härtnagel,Germany,,,,26200000,1000
lowes.com,Ecommerce,,US,,,,,5000
macys.com,Ecommerce,,US,,,,142100000,5000
manufactum.de,Ecommerce,,Germany,,,,,
marksandspencer.com,Ecommerce,,UK,,,,,2500
mediamarkt.de,Ecommerce,Pieter Haas,Germany,,,,30200000,1500
medpex.de,Ecommerce,,Germany,,,,,200
midea.cn,Ecommerce,,China,,,,280000,10000
mindfactory.de,Ecommerce,,Germany,,,,,400
mvideo.ru,Ecommerce,,RUS,,,,,2500
next.co.uk,Ecommerce,,UK,,,,,2000
nike.com,Ecommerce,,US,,,,117800000,5000
nordstrom.com,Ecommerce,,US,,,,,2500
notebooksbilliger.de,Ecommerce,,Germany,,,,5400000,750
obi.de,Ecommerce,,Germany,,,,,400
otto.de,Ecommerce,Alexander Birken,Germany,1949,Hamburg,49900,68400000,5000
qvc.com,Ecommerce,,US,,,,,2500
sainsburys.co.uk,Ecommerce,Simon Roberts,UK,,London,,,2500
samsclub.com,Ecommerce,Kathryn McLay,US,,Bentonville,,,64000
saturn.de,Ecommerce,,Germany,,,,15500000,750
shein.com,Ecommerce,,US,,,,114400000,5000
shop-apotheke.com,Ecommerce,,Germany,,,,8500000,500
shop.degussa-goldhandel.de,Ecommerce,,Germany,,,,,300
soliver.de,Ecommerce,Bernd Freier,Germany,,,,1700000,200
suning.com,Ecommerce,,China,,,,9600000,20000
Taobao.com,Ecommerce,Daniel Zhang Yong,China,,,,750000000,509711
target.com,Ecommerce,,US,,,,261800000,15000
tchibo.de,Ecommerce,,Germany,,,,11700000,500
tesco.com,Ecommerce,,UK,,,,,5000
thomann.de,Ecommerce,,Germany,,,,21100000,1000
vip.com,Ecommerce,,China,,,,8100000,10000
vmall.com,Ecommerce,,China,,,,3900000,5000
walgreens.com,Ecommerce,,US,,,,,1500
walmart.com,Ecommerce,,US,,,,,20000
wildberries.ru,Ecommerce,,RUS,,,,,2500
xxxlutz.de,Ecommerce,,Germany,,,,5700000,200
zalando.de,Ecommerce,"Robert Gentz, David Schneider",Germany,,,,30900000,2000
zara.com,Ecommerce,Dilip Patel,US,,,,96300000,2500
zooplus.de,Ecommerce,,Germany,,,,,400